,datayear,oshpd_id9,COUNTY,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,TYPE_LIC,TYPE_CNTRL,TRAUMA_CTR,ED_LIC_LEVL_BEGIN,RURAL_HOSPITAL_FLAG,TEACH_HOSP,GAC_BED_LIC_SUBTOTL,MSSA_DESIGNATION,Sex_Male,Sex_Female,Sex_Unknown,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Hospice_Care,Home_Health_Service,Residential_Care_Facility,Routine,Psychiatric_Care,SN_IC_Care,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,ED_Visit,All_Other,English,Spanish
0,2009,106010735,Alameda,2070 CLINTON,ALAMEDA,94501,General Acute Care,District,,Basic,,NO,100,,5464.0,7207.0,,816.0,1265.0,2269.0,1924.0,2078.0,1795.0,964.0,626.0,845.0,89.0,,1204.0,2599.0,160.0,6.0,3102.0,257.0,5343.0,248.0,223.0,17.0,,,4.0,11997.0,,99.0,1240.0,2143.0,2685.0,4491.0,,12671.0,364.0,12196.0,111.0
1,2009,106010739,Alameda,2450 ASHBY STREET,BERKELEY,94705,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,347,,14517.0,20866.0,,549.0,2437.0,8234.0,5931.0,5604.0,5655.0,3293.0,1634.0,1852.0,194.0,,2401.0,13126.0,3134.0,76.0,2438.0,331.0,13877.0,182.0,212.0,35.0,,2.0,25.0,33727.0,1076.0,86.0,7984.0,5543.0,2042.0,14065.0,,35383.0,386.0,34170.0,827.0
2,2009,106010776,Alameda,747 52ND STREET,OAKLAND,94609,General Acute Care,Non-Profit Corporation (incl. Church-related),Level I - Pediatric,Basic,,NO,190,,25495.0,22484.0,1.0,28747.0,11017.0,249.0,78.0,45.0,27.0,10.0,,,7807.0,,2462.0,16144.0,18561.0,27.0,6386.0,202.0,4198.0,387.0,796.0,7.0,,,,46756.0,,,33788.0,39.0,2189.0,8403.0,,47980.0,1976.0,32311.0,13693.0
3,2009,106010805,Alameda,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,General Acute Care,Non-Profit Corporation (incl. Church-related),Level II,Basic,,NO,155,,11281.0,15486.0,,2355.0,2846.0,4869.0,4013.0,4186.0,3306.0,1831.0,1116.0,1685.0,560.0,,1797.0,5286.0,5017.0,83.0,690.0,30.0,13864.0,824.0,297.0,93.0,6.0,,,24984.0,515.0,,6511.0,4955.0,669.0,9178.0,,26767.0,637.0,24840.0,1290.0
4,2009,106010846,Alameda,1411 EAST 31ST STREET,OAKLAND,94602,General Acute Care,City and/or County,Level II,Basic,,YES,236,,38196.0,32052.0,,616.0,3486.0,16049.0,13075.0,15623.0,14329.0,5309.0,1160.0,485.0,116.0,,5113.0,31602.0,18333.0,231.0,4678.0,63.0,10228.0,1839.0,600.0,150.0,,2.0,6.0,67162.0,,218.0,15903.0,4157.0,31041.0,2507.0,,70248.0,3824.0,55008.0,11416.0
5,2009,106010856,Alameda,280 W. MACARTHUR BOULEVARD,OAKLAND,94611-5693,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,341,,28175.0,36937.0,3.0,5628.0,6356.0,9688.0,8641.0,9459.0,9371.0,6212.0,4135.0,4623.0,1002.0,,5740.0,27221.0,11213.0,146.0,1950.0,1811.0,17034.0,354.0,818.0,65.0,26.0,36.0,11.0,62359.0,465.0,114.0,7414.0,11231.0,152.0,37524.0,,65115.0,1723.0,59035.0,4357.0
6,2009,106010858,Alameda,27400 HESPERIAN BOULEVARD,HAYWARD,94545,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,210,,27865.0,34657.0,1.0,7072.0,6821.0,8284.0,8211.0,8379.0,7963.0,5413.0,4490.0,4638.0,1252.0,,11244.0,8794.0,16072.0,207.0,2079.0,3068.0,21059.0,372.0,879.0,77.0,59.0,77.0,76.0,59574.0,566.0,438.0,4349.0,11806.0,259.0,41545.0,,62523.0,2458.0,55007.0,5058.0
7,2009,106010937,Alameda,350 HAWTHORNE AVENUE,OAKLAND,94609,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,337,,12595.0,18457.0,,209.0,1462.0,5737.0,5030.0,5569.0,5859.0,3032.0,2012.0,2114.0,28.0,,2575.0,18662.0,1941.0,65.0,1626.0,312.0,5871.0,397.0,210.0,55.0,,5.0,10.0,29512.0,700.0,155.0,10510.0,6389.0,1706.0,6729.0,,31052.0,1194.0,29218.0,640.0
8,2009,106010967,Alameda,27200 CALAROGA AVENUE,HAYWARD,94545,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,141,,14088.0,18284.0,,5191.0,3895.0,6769.0,4903.0,4169.0,3183.0,1484.0,834.0,710.0,1234.0,,2560.0,6820.0,11548.0,32.0,4564.0,2.0,6846.0,219.0,1018.0,45.0,,1.0,,30261.0,499.0,197.0,15481.0,3432.0,1393.0,4381.0,,32372.0,1038.0,26204.0,5130.0
9,2009,106010987,Alameda,2000 MOWRY AVENUE,FREMONT,94538,General Acute Care,District,,Basic,,NO,359,,18796.0,23221.0,,6345.0,4677.0,6476.0,6022.0,5720.0,4530.0,2570.0,2066.0,2258.0,1352.0,1.0,3787.0,3529.0,6484.0,49.0,5344.0,199.0,22625.0,237.0,269.0,67.0,,43.0,,40549.0,484.0,289.0,14839.0,6872.0,2330.0,11615.0,,42017.0,971.0,39632.0,1414.0
