,datayear,oshpd_id2,county_name,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,license_type_desc,control_type_desc,TRAUMA_CENTER_DESC,ed_lic_levl_end,rural_hospital_desc,teaching_hospital_desc,licensed_bed_size,mssa_designation,Sex_Male,Sex_Female,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Islander,Black,Hispanic,Native_American_Eskimo_Aleut,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Hospice_Care,Home_Health_Service,Residential_Care,Routine,Psychiatric_Care,SN_IC_Care,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,ED_Visit,All_Other_Languages,English,Spanish
0,,106010735,ALAMEDA,2070 CLINTON AVE,ALAMEDA,94501,Hospital,City or County,,Basic,,,100-149,Urban,6606.0,8505.0,,623.0,1104.0,2740.0,2721.0,2124.0,2130.0,1798.0,845.0,961.0,65.0,,1369.0,2966.0,1186.0,16.0,3669.0,302.0,5603.0,277.0,340.0,23.0,,,,13927.0,177.0,196.0,763.0,3009.0,5995.0,3706.0,1638.0,15111.0,650.0,13886.0,575.0
1,,106010739,ALAMEDA,2450 ASHBY AVENUE,BERKELEY,94705,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,300-499,Urban,16737.0,22667.0,2.0,612.0,2179.0,8619.0,6685.0,5369.0,5550.0,4730.0,2986.0,2471.0,205.0,,3481.0,13029.0,5751.0,74.0,2188.0,348.0,14535.0,283.0,484.0,32.0,34.0,139.0,15.0,36607.0,1403.0,194.0,14246.0,9149.0,745.0,12213.0,3041.0,39406.0,1082.0,36629.0,1695.0
2,,106010776,ALAMEDA,747 52ND STREET,OAKLAND,94609,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,Teaching,150-199,Urban,20598.0,18429.0,4.0,23150.0,10130.0,318.0,74.0,43.0,32.0,14.0,2.0,2.0,5263.0,3.0,2685.0,9776.0,18011.0,43.0,4868.0,194.0,3454.0,206.0,62.0,9.0,4.0,14.0,,38356.0,,1.0,31043.0,14.0,449.0,5453.0,2071.0,39031.0,1515.0,27142.0,10374.0
3,,106010846,ALAMEDA,1411 EAST 31ST STREET,OAKLAND,94602,Hospital,City or County,,Basic,,Teaching,200-299,Urban,33431.0,28454.0,2.0,882.0,2816.0,12923.0,12783.0,11265.0,11300.0,7065.0,1776.0,853.0,224.0,,5539.0,25760.0,20842.0,221.0,1962.0,398.0,7165.0,257.0,602.0,150.0,5.0,,147.0,58788.0,37.0,171.0,39961.0,6348.0,1050.0,2314.0,11864.0,61887.0,4913.0,43169.0,13805.0
4,,106010937,ALAMEDA,350 HAWTHORNE AVENUE,OAKLAND,94609,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,300-499,Urban,16481.0,21808.0,6.0,260.0,1239.0,6817.0,6285.0,5422.0,6654.0,5366.0,3083.0,3122.0,47.0,,4101.0,20476.0,4009.0,64.0,1660.0,182.0,7803.0,421.0,445.0,83.0,34.0,238.0,16.0,35653.0,764.0,354.0,17279.0,10293.0,666.0,7139.0,2918.0,38295.0,2545.0,34514.0,1236.0
5,,106010967,ALAMEDA,27200 CALAROGA AVENUE,HAYWARD,94545,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,200-299,Urban,14289.0,17543.0,1.0,3599.0,2927.0,5736.0,5359.0,4184.0,4120.0,2840.0,1451.0,998.0,619.0,,4812.0,5352.0,13309.0,39.0,2075.0,35.0,6211.0,464.0,830.0,92.0,3.0,1.0,128.0,29280.0,537.0,117.0,18805.0,4217.0,2065.0,3763.0,2983.0,31833.0,1870.0,24135.0,5828.0
6,,106010987,ALAMEDA,2000 MOWRY AVENUE,FREMONT,94538,Hospital,District,,Basic,,,300-499,Urban,20044.0,22704.0,,4837.0,3856.0,6817.0,6150.0,4991.0,5754.0,4064.0,2679.0,2699.0,901.0,,12002.0,4382.0,9479.0,44.0,5719.0,292.0,10830.0,172.0,,66.0,39.0,290.0,2.0,40694.0,703.0,388.0,18160.0,9539.0,1225.0,9663.0,3797.0,42748.0,3336.0,37335.0,2077.0
7,,106013619,ALAMEDA,13855 EAST 14TH STREET,SAN LEANDRO,94578,Hospital,City or County,,Basic,,,50-99,Urban,13441.0,17901.0,1.0,1227.0,2182.0,7043.0,5744.0,4589.0,5270.0,2972.0,1230.0,955.0,129.0,2.0,2363.0,16517.0,7151.0,132.0,604.0,74.0,4502.0,88.0,930.0,20.0,4.0,42.0,1.0,28802.0,857.0,67.0,2853.0,5339.0,16994.0,3093.0,3064.0,31343.0,938.0,28195.0,2210.0
8,,106014050,ALAMEDA,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,150-199,Urban,13060.0,14599.0,,2887.0,2828.0,4332.0,3918.0,3728.0,3515.0,2350.0,1922.0,1699.0,480.0,,3909.0,2064.0,4431.0,35.0,1923.0,110.0,15187.0,541.0,176.0,48.0,1.0,,7.0,25412.0,627.0,7.0,7993.0,4876.0,2015.0,10947.0,1828.0,27659.0,598.0,25584.0,1477.0
9,,106014132,ALAMEDA,39400 PASEO PADRE PARKWAY,FREMONT,94538,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,100-149,Urban,16201.0,18081.0,3.0,3488.0,3291.0,4339.0,4371.0,4029.0,4127.0,3611.0,2974.0,3511.0,543.0,1.0,10116.0,2586.0,7873.0,124.0,848.0,428.0,12310.0,271.0,466.0,52.0,55.0,549.0,1.0,31771.0,627.0,221.0,4646.0,8569.0,654.0,18949.0,1467.0,34285.0,1503.0,31298.0,1484.0
