,datayear,oshpd_id2,county_name,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,LICENSE_CATEGORY_DESC,control_type_desc,TRAUMA_CENTER_DESC,ed_lic_levl_end,rural_hospital_desc,teaching_hospital_desc,licensed_bed_size,mssa_designation,Sex_Male,Sex_Female,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Islander,Black,Hispanic or Latino,Native_American_Eskimo_Aleut,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Hospice_Care,Home_Health_Service,Residential_Care,Routine,Psychiatric_Care,SN_IC_Care,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,ED_Visit,All_Other_Languages,English,Spanish
0,,106010735,ALAMEDA,2070 CLINTON AVE,ALAMEDA,94501,General Acute Care Hospital,City or County,,Basic,,,100-149,Urban,6604.0,8411.0,,591.0,987.0,2596.0,2810.0,2146.0,2011.0,1829.0,1077.0,908.0,60.0,,1367.0,3076.0,1686.0,24.0,4987.0,426.0,5135.0,390.0,601.0,24.0,,,,13310.0,241.0,290.0,980.0,3262.0,6211.0,3320.0,1242.0,15015.0,389.0,14173.0,453.0
1,,106010739,ALAMEDA,2450 ASHBY AVENUE,BERKELEY,94705,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,300-499,Urban,15397.0,20122.0,3.0,546.0,2003.0,7497.0,6395.0,4671.0,4823.0,4264.0,2876.0,2263.0,184.0,,3309.0,11280.0,5497.0,69.0,6712.0,538.0,13614.0,288.0,548.0,22.0,10.0,48.0,37.0,32834.0,1445.0,166.0,13013.0,8212.0,491.0,10818.0,2988.0,35522.0,1070.0,32703.0,1749.0
2,,106010776,ALAMEDA,747 52ND STREET,OAKLAND,94609,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,Teaching,150-199,Urban,19720.0,17567.0,2.0,21540.0,10221.0,526.0,70.0,39.0,32.0,8.0,8.0,,4843.0,2.0,2835.0,9467.0,17541.0,48.0,20581.0,274.0,4070.0,299.0,170.0,7.0,1.0,13.0,,36339.0,,,28957.0,113.0,438.0,5598.0,2179.0,37289.0,1805.0,25848.0,9636.0
3,,106010846,ALAMEDA,1411 EAST 31ST STREET,OAKLAND,94602,General Acute Care Hospital,City or County,,Basic,,,200-299,Urban,29742.0,25049.0,,818.0,2471.0,10838.0,11331.0,9641.0,9858.0,6609.0,2107.0,935.0,183.0,,4664.0,22780.0,18397.0,359.0,20231.0,188.0,6569.0,800.0,1481.0,130.0,22.0,39.0,330.0,49855.0,357.0,277.0,34897.0,6937.0,3095.0,2577.0,7282.0,54791.0,3884.0,38661.0,12246.0
4,,106010937,ALAMEDA,350 HAWTHORNE AVENUE,OAKLAND,94609,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,300-499,Urban,15908.0,20487.0,,211.0,954.0,5670.0,5839.0,5098.0,6086.0,5563.0,3544.0,3391.0,39.0,,4255.0,19071.0,3751.0,64.0,4844.0,281.0,7880.0,515.0,556.0,68.0,11.0,71.0,94.0,33746.0,801.0,482.0,15584.0,10646.0,694.0,6643.0,2828.0,36395.0,2917.0,32342.0,1136.0
5,,106010967,ALAMEDA,27200 CALAROGA AVENUE,HAYWARD,94545,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,200-299,Urban,13540.0,16134.0,1.0,3045.0,2905.0,5120.0,4971.0,3825.0,3797.0,2846.0,1530.0,1099.0,537.0,,4707.0,4833.0,12958.0,66.0,14309.0,22.0,5736.0,334.0,620.0,103.0,1.0,,237.0,27370.0,426.0,123.0,16753.0,4383.0,2168.0,3702.0,2669.0,29675.0,1655.0,21822.0,6198.0
6,,106010987,ALAMEDA,2000 MOWRY AVENUE,FREMONT,94538,General Acute Care Hospital,District,,Basic,,,300-499,Urban,19516.0,21873.0,1.0,4262.0,3709.0,6181.0,6394.0,4853.0,5273.0,4219.0,2792.0,2846.0,860.0,1.0,12380.0,4534.0,9121.0,69.0,13854.0,288.0,10240.0,139.0,,58.0,32.0,98.0,3.0,39557.0,726.0,323.0,16872.0,9457.0,1195.0,9841.0,3699.0,41390.0,2872.0,36552.0,1966.0
7,,106013619,ALAMEDA,13855 EAST 14TH STREET,SAN LEANDRO,94578,General Acute Care Hospital,City or County,,Basic,,,50-99,Urban,12584.0,15007.0,3.0,933.0,1775.0,5546.0,5295.0,4235.0,4654.0,3021.0,1165.0,860.0,110.0,,2240.0,14630.0,6399.0,84.0,6424.0,29.0,4187.0,313.0,2555.0,10.0,3.0,37.0,,23645.0,832.0,53.0,12611.0,4504.0,5273.0,2578.0,2628.0,27594.0,744.0,24787.0,2063.0
8,,106014050,ALAMEDA,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,150-199,Urban,13872.0,15589.0,4.0,2779.0,2774.0,4372.0,4685.0,3850.0,3844.0,2688.0,2053.0,1911.0,509.0,,4984.0,2403.0,4942.0,79.0,6721.0,158.0,15118.0,664.0,,68.0,20.0,594.0,1.0,26227.0,616.0,165.0,4941.0,2035.0,7328.0,12123.0,3038.0,29465.0,771.0,27442.0,1252.0
9,,106014132,ALAMEDA,39400 PASEO PADRE PARKWAY,FREMONT,94538,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,100-149,Urban,17365.0,19511.0,2.0,3528.0,3223.0,4865.0,4986.0,4146.0,4771.0,3917.0,3300.0,3614.0,528.0,,11657.0,3076.0,8416.0,155.0,8380.0,786.0,12824.0,311.0,634.0,75.0,56.0,660.0,2.0,33991.0,602.0,267.0,4535.0,8853.0,695.0,20760.0,2035.0,36878.0,1756.0,33511.0,1611.0
