datayear,oshpd_id2,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,LICENSE_CATEGORY_DESC,Control_Type_Desc,TRAUMA_CENTER_DESC,ER_SERVICE_LEVEL_DESC,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,LICENSED_BED_SIZE,MSSA_DESIGNATION,Sex_Male,Sex_Female,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Hospice_Care,Home_Health_Service,Residential_Care,Routine,Psychiatric_Care,SN_IC_Care,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,ED_Visit,All_Other,English,Spanish
2005,106010735,Alameda,2070 CLINTON,ALAMEDA,94501,General Acute Care,District,,Basic,,NO,100.0,,6376.0,8097.0,,966.0,1387.0,2619.0,2406.0,2408.0,1967.0,893.0,825.0,891.0,111.0,,1424.0,2428.0,531.0,16.0,3134.0,259.0,6681.0,335.0,226.0,34.0,,1.0,1.0,13520.0,,152.0,1285.0,2121.0,2624.0,5718.0,,14473.0,,,
2005,106010739,Alameda,2450 ASHBY STREET,BERKELEY,94705,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,353.0,,15179.0,19839.0,,494.0,3378.0,7332.0,6126.0,6328.0,5203.0,2478.0,1621.0,1851.0,207.0,,15888.0,,2903.0,51.0,1787.0,473.0,13916.0,174.0,1317.0,46.0,,,,30856.0,,145.0,7226.0,6548.0,1974.0,13737.0,,35018.0,,,
2005,106010776,Alameda,747 52ND STREET,OAKLAND,94609,General Acute Care,Non-Profit Corporation (incl. Church-related),Level I,Basic,,NO,170.0,,23615.0,21173.0,,25762.0,10672.0,224.0,106.0,54.0,33.0,8.0,4.0,2.0,7923.0,,2625.0,18193.0,13644.0,27.0,5391.0,247.0,4661.0,319.0,532.0,17.0,,,,43753.0,,,29553.0,27.0,2303.0,9382.0,,44788.0,,,
2005,106010805,Alameda,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,General Acute Care,Non-Profit Corporation (incl. Church-related),Level II,Basic,,NO,155.0,,11209.0,13069.0,,2199.0,2560.0,4376.0,3792.0,4139.0,2715.0,1320.0,1180.0,1470.0,527.0,,1494.0,3857.0,3331.0,73.0,1006.0,75.0,14442.0,861.0,302.0,120.0,,13.0,,22798.0,,1.0,4924.0,4171.0,774.0,10114.0,,24278.0,,,
2005,106010844,Alameda,2001 DWIGHT WAY,BERKELEY,94704,General Acute Care,Non-Profit Corporation (incl. Church-related),,0,,NO,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,106010846,Alameda,1411 EAST 31ST STREET,OAKLAND,94602,General Acute Care,City and/or County,Level II,Basic,,YES,236.0,,28090.0,21993.0,,512.0,2747.0,11930.0,9951.0,11620.0,9110.0,2943.0,748.0,391.0,131.0,,2841.0,23174.0,11891.0,122.0,4996.0,146.0,6913.0,1216.0,5072.0,133.0,1.0,,,43603.0,,34.0,10925.0,2722.0,23181.0,2257.0,,50083.0,,,
2005,106010856,Alameda,280 W. MACARTHUR BOULEVARD,OAKLAND,94611-5693,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,346.0,,16773.0,19360.0,33.0,2891.0,3501.0,5415.0,5229.0,5595.0,5250.0,3152.0,2302.0,2262.0,568.0,1.0,1159.0,6855.0,1506.0,64.0,860.0,20892.0,4830.0,496.0,487.0,43.0,,,,34698.0,,133.0,1305.0,4930.0,3399.0,22806.0,,36166.0,,,
2005,106010858,Alameda,27400 HESPERIAN BOULEVARD,HAYWARD,94545,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,210.0,,13225.0,17301.0,79.0,2659.0,2367.0,4157.0,4229.0,4712.0,3896.0,2628.0,2610.0,2638.0,708.0,1.0,2194.0,2321.0,3710.0,47.0,1055.0,14323.0,6955.0,541.0,242.0,39.0,,,,29233.0,,55.0,501.0,5941.0,722.0,21402.0,,30605.0,,,
2005,106010937,Alameda,350 HAWTHORNE AVENUE,OAKLAND,94609,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,337.0,,11523.0,18026.0,,239.0,1684.0,5697.0,5062.0,5655.0,4826.0,2521.0,1876.0,1931.0,58.0,,20198.0,,1997.0,42.0,1413.0,350.0,5549.0,293.0,854.0,62.0,,91.0,29.0,27260.0,132.0,450.0,9357.0,6842.0,2303.0,7542.0,,29549.0,,,
2005,106010967,Alameda,27200 CALAROGA AVENUE,HAYWARD,94545,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,141.0,,13838.0,16617.0,,5064.0,3407.0,6188.0,4800.0,4178.0,2506.0,1251.0,876.0,646.0,1539.0,,2956.0,5676.0,10939.0,88.0,3877.0,,6919.0,46.0,282.0,41.0,,,,28835.0,,,14171.0,2825.0,1197.0,12262.0,,30455.0,,,
