year,oshpd_id,county_number,county_name,facility_name,dba_address1,dba_city,dba_zip_code,license_category_desc,teaching_hospital_desc,licensed_bed_size,er_service_level,sex_male,sex_female,sex_unk,age_01_09,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_,age_under_1,age_unknown,asian_pacific_island,black,hispanic,native_american_eski,other_race,unknown_race,white,acute_care,against_medical_advice,died,hospice_care,home_health_service,residential_care,routine,psychiatric_care,sn_ic_care,medi_cal,medicare,other_payer,private_coverage,selfpay,all_other,english,spanish,ed_admit,ed_visit
2012,106010735,1,Alameda,ALAMEDA HOSPITAL,2070 CLINTON,ALAMEDA,94501,General Acute Care,0.0,100-149,BASIC,6005.0,7722.0,0.0,768.0,1104.0,2458.0,2236.0,2173.0,1937.0,1322.0,688.0,965.0,76.0,0.0,1335.0,3025.0,173.0,9.0,2762.0,372.0,6051.0,237.0,385.0,39.0,12.0,23.0,10.0,12462.0,210.0,201.0,549.0,2740.0,3469.0,4339.0,0.0,522.0,12918.0,287.0,2595.0,13727.0
2012,106010739,1,Alameda,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2450 ASHBY STREET,BERKELEY,94705,General Acute Care,0.0,300-499,BASIC,14509.0,20833.0,0.0,550.0,2096.0,8450.0,5937.0,4959.0,5430.0,3774.0,1998.0,1961.0,187.0,0.0,2385.0,12662.0,3419.0,55.0,2523.0,190.0,14108.0,198.0,242.0,25.0,0.0,3.0,44.0,33653.0,934.0,156.0,8613.0,5707.0,1877.0,12926.0,0.0,534.0,33867.0,941.0,6047.0,35342.0
2012,106010776,1,Alameda,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,747 52ND STREET,OAKLAND,94609,General Acute Care,0.0,150-199,BASIC,20826.0,18391.0,1.0,23733.0,9037.0,275.0,88.0,31.0,28.0,6.0,3.0,1.0,6016.0,0.0,2078.0,12165.0,15489.0,39.0,5815.0,322.0,3310.0,308.0,758.0,9.0,0.0,0.0,0.0,38135.0,0.0,0.0,28489.0,19.0,1785.0,5949.0,0.0,1425.0,27285.0,10508.0,6911.0,39218.0
2012,106010805,1,Alameda,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,General Acute Care,0.0,150-199,BASIC,13612.0,18119.0,0.0,2702.0,2835.0,5848.0,4964.0,4417.0,4384.0,2425.0,1493.0,2037.0,626.0,0.0,2098.0,6645.0,7036.0,100.0,868.0,28.0,14956.0,1064.0,332.0,100.0,26.0,62.0,2.0,29049.0,695.0,50.0,8543.0,6426.0,814.0,9169.0,0.0,666.0,29433.0,1632.0,6324.0,31731.0
2012,106010846,1,Alameda,HIGHLAND HOSPITAL,1411 EAST 31ST STREET,OAKLAND,94602,General Acute Care,1.0,300-499,BASIC,40004.0,34198.0,0.0,615.0,2791.0,16032.0,14367.0,15555.0,16257.0,6884.0,1108.0,455.0,138.0,0.0,5450.0,31470.0,20596.0,248.0,6247.0,196.0,9995.0,1936.0,567.0,161.0,0.0,2.0,1.0,70104.0,0.0,143.0,17877.0,4437.0,35836.0,1640.0,0.0,4025.0,57871.0,12306.0,8992.0,74202.0
2012,106010856,1,Alameda,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,280 W. MACARTHUR BOULEVARD,OAKLAND,94611,General Acute Care,1.0,300-499,BASIC,40759.0,51245.0,17.0,9255.0,8629.0,14468.0,12246.0,12501.0,12645.0,9387.0,5661.0,5815.0,1413.0,1.0,7666.0,37350.0,17691.0,297.0,2747.0,5324.0,20946.0,525.0,1023.0,66.0,48.0,39.0,10.0,88783.0,859.0,202.0,13016.0,16470.0,1788.0,42405.0,0.0,1816.0,82921.0,7284.0,8360.0,92021.0
2012,106010858,1,Alameda,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,27400 HESPERIAN BOULEVARD,HAYWARD,94545,General Acute Care,0.0,200-299,BASIC,31061.0,37792.0,1.0,8238.0,7504.0,9121.0,8467.0,8290.0,8365.0,6524.0,5033.0,5995.0,1317.0,0.0,13058.0,10243.0,18027.0,275.0,2805.0,1671.0,22775.0,377.0,665.0,74.0,96.0,224.0,166.0,65645.0,798.0,505.0,7081.0,15384.0,1107.0,41387.0,0.0,1943.0,62317.0,4594.0,8173.0,68854.0
2012,106010937,1,Alameda,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,OAKLAND,94609,General Acute Care,0.0,300-499,BASIC,13241.0,19432.0,0.0,240.0,1258.0,6154.0,5274.0,5266.0,6084.0,3893.0,2159.0,2308.0,37.0,0.0,2676.0,19070.0,2477.0,50.0,1520.0,283.0,6597.0,319.0,305.0,55.0,0.0,1.0,18.0,30586.0,750.0,469.0,11115.0,6961.0,1395.0,7249.0,0.0,1570.0,30330.0,773.0,7842.0,32673.0
2012,106010967,1,Alameda,ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,94545,General Acute Care,0.0,200-299,BASIC,13155.0,17322.0,2.0,3995.0,3033.0,5833.0,4964.0,4096.0,3526.0,2193.0,1143.0,849.0,847.0,0.0,2604.0,6366.0,11845.0,44.0,2984.0,291.0,6345.0,318.0,1053.0,80.0,2.0,3.0,4.0,27793.0,575.0,195.0,14170.0,4314.0,1295.0,3503.0,0.0,2147.0,22988.0,5344.0,4710.0,30479.0
2012,106010987,1,Alameda,WASHINGTON HOSPITAL - FREMONT,2000 MOWRY AVENUE,FREMONT,94538,General Acute Care,0.0,300-499,BASIC,18614.0,23099.0,0.0,5778.0,4103.0,6351.0,6092.0,5610.0,4901.0,2956.0,2244.0,2409.0,1267.0,2.0,4593.0,4696.0,8174.0,52.0,8030.0,42.0,16126.0,186.0,275.0,74.0,0.0,35.0,0.0,39697.0,697.0,491.0,16197.0,7456.0,1947.0,10189.0,0.0,1652.0,38293.0,1768.0,7577.0,41713.0
